iter	Passed	Remaining
896	48388	5556
897	48440	5502
898	48488	5447
899	48527	5391
900	48577	5337
901	48623	5282
902	48675	5228
903	48728	5174
904	48769	5119
905	48811	5064
906	48850	5008
907	48886	4953
908	48926	4898
909	48964	4842
910	49009	4787
911	49070	4734
912	49129	4681
913	49181	4627
914	49228	4573
915	49278	4518
916	49327	4464
917	49376	4410
918	49434	4357
919	49474	4302
920	49527	4248
921	49574	4193
922	49629	4140
923	49677	4086
924	49729	4032
925	49778	3977
926	49836	3924
927	49884	3870
928	49930	3816
929	49989	3762
930	50055	3709
931	50100	3655
932	50146	3601
933	50183	3546
934	50223	3491
935	50261	3436
936	50305	3382
937	50347	3327
938	50388	3273
939	50427	3218
940	50463	3164
941	50502	3109
942	50541	3055
943	50579	3000
944	50616	2945
945	50668	2892
946	50724	2838
947	50786	2785
948	50833	2731
949	50884	2678
950	50923	2623
951	50961	2569
952	50999	2515
953	51038	2460
954	51074	2406
955	51112	2352
956	51154	2298
957	51196	2244
958	51252	2191
959	51330	2138
960	51381	2085
961	51441	2031
962	51478	1977
963	51514	1923
964	51551	1869
965	51591	1815
966	51628	1761
967	51669	1708
968	51717	1654
969	51768	1601
970	51823	1547
971	51873	1494
972	51916	1440
973	51963	1387
974	52004	1333
975	52042	1279
976	52078	1225
977	52113	1172
978	52149	1118
979	52189	1065
980	52230	1011
981	52292	958
982	52362	905
983	52418	852
984	52480	799
985	52552	746
986	52596	692
987	52634	639
988	52672	585
989	52710	532
990	52749	479
991	52794	425
992	52845	372
993	52887	319
994	52927	265
995	52965	212
996	53005	159
997	53042	106
998	53081	53
999	53120	0
